Timestamp,Which Dog?,Indicator Value,Time-Out,Time-In,Urine,Shit,Notes
2/10/2022 21:22:49,Both,"0_Braonin, 0_Siobhan",9:10:00 PM,9:22:00 PM,"1_Braonin, 1_Siobhan","0_Braonin, 1_Siobhan",Small siobhan shit 
2/11/2022 9:40:36,Both,"1_Braonin, 0_Siobhan",9:34:00 AM,9:40:00 AM,"1_Braonin, 1_Siobhan","0_Braonin, 1_Siobhan",Sm s-shit
2/11/2022 10:37:33,Braonin,2_Braonin,10:28:00 AM,10:35:00 AM,0_Braonin,1_Braonin,
2/11/2022 13:14:19,Both,"1_Braonin, 0_Siobhan",1:02:00 PM,1:13:00 PM,"1_Braonin, 1_Siobhan","0_Braonin, 1_Siobhan",
2/11/2022 16:15:05,Both,"0_Braonin, 0_Siobhan",3:47:00 PM,4:12:00 PM,"1_Braonin, 1_Siobhan","1_Braonin, 0_Siobhan",
2/11/2022 18:05:11,Siobhan,1_Siobhan,6:00:00 PM,6:04:00 PM,0_Siobhan,1_Siobhan,
2/11/2022 22:07:20,Both,"0_Braonin, 0_Siobhan",9:20:00 PM,9:26:00 PM,"1_Braonin, 1_Siobhan","0_Braonin, 1_Siobhan",
2/12/2022 10:38:24,Both,"1_Braonin, 0_Siobhan",9:42:00 AM,9:51:00 AM,"1_Braonin, 1_Siobhan","0_Braonin, 1_Siobhan",
2/12/2022 16:23:56,Both,"0_Braonin, 0_Siobhan",4:12:00 PM,4:24:00 AM,"1_Braonin, 1_Siobhan","1_Braonin, 0_Siobhan",
2/12/2022 22:32:22,Braonin,1_Braonin,9:24:00 PM,9:30:00 PM,1_Braonin,0_Braonin,
2/13/2022 9:02:22,Braonin,0_Braonin,8:54:00 AM,9:00:00 AM,1_Braonin,0_Braonin,
2/13/2022 9:25:31,Braonin,1_Braonin,9:18:00 AM,9:25:00 AM,0_Braonin,0_Braonin,
2/13/2022 10:22:44,Siobhan,0_Siobhan,9:26:00 AM,9:29:00 AM,1_Siobhan,1_Siobhan,Small shit
2/13/2022 13:19:10,Both,"0_Braonin, 1_Siobhan",1:00:00 PM,1:15:00 PM,"1_Braonin, 1_Siobhan","0_Braonin, 0_Siobhan",Play with other dog 
2/13/2022 14:44:16,Siobhan,1_Siobhan,2:30:00 PM,2:43:00 PM,1_Siobhan,0_Siobhan,She had socialized and smell time 
2/13/2022 14:55:38,Braonin,0_Braonin,2:47:00 PM,2:55:00 PM,1_Braonin,0_Braonin,Socialization
2/13/2022 15:37:32,Braonin,1_Braonin,3:22:00 PM,3:37:00 PM,1_Braonin,1_Braonin,Socialization
2/13/2022 17:47:47,Siobhan,1_Siobhan,5:41:00 PM,5:47:00 PM,1_Siobhan,0_Siobhan,
2/13/2022 22:12:33,Both,"0_Braonin, 1_Siobhan",10:02:00 PM,10:12:00 PM,"1_Braonin, 1_Siobhan","0_Braonin, 0_Siobhan",
